field_id,date,ndvi
F001,2025-09-21,0.641
F001,2025-09-22,0.642
F001,2025-09-23,0.665
F001,2025-09-24,0.629
F001,2025-09-25,0.655
F001,2025-09-26,0.659
F001,2025-09-27,0.679
F001,2025-09-28,0.67
F001,2025-09-29,0.645
F001,2025-09-30,0.657
F001,2025-10-01,0.662
F001,2025-10-02,0.676
F001,2025-10-03,0.611
F001,2025-10-04,0.638
F001,2025-10-05,0.67
F001,2025-10-06,0.661
F001,2025-10-07,0.642
F001,2025-10-08,0.644
F001,2025-10-09,0.675
F001,2025-10-10,0.65
F001,2025-10-11,0.634
F001,2025-10-12,0.654
F001,2025-10-13,0.66
F001,2025-10-14,0.623
F001,2025-10-15,0.653
F001,2025-10-16,0.654
F001,2025-10-17,0.663
F001,2025-10-18,0.645
F001,2025-10-19,0.653
F001,2025-10-20,0.648
F002,2025-09-21,0.529
F002,2025-09-22,0.559
F002,2025-09-23,0.548
F002,2025-09-24,0.552
F002,2025-09-25,0.551
F002,2025-09-26,0.557
F002,2025-09-27,0.57
F002,2025-09-28,0.563
F002,2025-09-29,0.537
F002,2025-09-30,0.555
F002,2025-10-01,0.576
F002,2025-10-02,0.566
F002,2025-10-03,0.533
F002,2025-10-04,0.553
F002,2025-10-05,0.584
F002,2025-10-06,0.546
F002,2025-10-07,0.549
F002,2025-10-08,0.509
F002,2025-10-09,0.565
F002,2025-10-10,0.55
F002,2025-10-11,0.535
F002,2025-10-12,0.605
F002,2025-10-13,0.563
F002,2025-10-14,0.555
F002,2025-10-15,0.55
F002,2025-10-16,0.537
F002,2025-10-17,0.518
F002,2025-10-18,0.553
F002,2025-10-19,0.545
F002,2025-10-20,0.532
F003,2025-09-21,0.668
F003,2025-09-22,0.648
F003,2025-09-23,0.62
F003,2025-09-24,0.637
F003,2025-09-25,0.647
F003,2025-09-26,0.671
F003,2025-09-27,0.607
F003,2025-09-28,0.655
F003,2025-09-29,0.643
F003,2025-09-30,0.651
F003,2025-10-01,0.659
F003,2025-10-02,0.64
F003,2025-10-03,0.652
F003,2025-10-04,0.653
F003,2025-10-05,0.658
F003,2025-10-06,0.647
F003,2025-10-07,0.621
F003,2025-10-08,0.626
F003,2025-10-09,0.671
F003,2025-10-10,0.654
F003,2025-10-11,0.703
F003,2025-10-12,0.663
F003,2025-10-13,0.661
F003,2025-10-14,0.691
F003,2025-10-15,0.653
F003,2025-10-16,0.656
F003,2025-10-17,0.664
F003,2025-10-18,0.671
F003,2025-10-19,0.636
F003,2025-10-20,0.66
F004,2025-09-21,0.637
F004,2025-09-22,0.602
F004,2025-09-23,0.654
F004,2025-09-24,0.643
F004,2025-09-25,0.652
F004,2025-09-26,0.646
F004,2025-09-27,0.591
F004,2025-09-28,0.645
F004,2025-09-29,0.658
F004,2025-09-30,0.639
F004,2025-10-01,0.66
F004,2025-10-02,0.664
F004,2025-10-03,0.665
F004,2025-10-04,0.659
F004,2025-10-05,0.632
F004,2025-10-06,0.617
F004,2025-10-07,0.644
F004,2025-10-08,0.662
F004,2025-10-09,0.634
F004,2025-10-10,0.652
F004,2025-10-11,0.635
F004,2025-10-12,0.637
F004,2025-10-13,0.646
F004,2025-10-14,0.647
F004,2025-10-15,0.656
F004,2025-10-16,0.657
F004,2025-10-17,0.637
F004,2025-10-18,0.666
F004,2025-10-19,0.655
F004,2025-10-20,0.658
F005,2025-09-21,0.517
F005,2025-09-22,0.519
F005,2025-09-23,0.498
F005,2025-09-24,0.54
F005,2025-09-25,0.519
F005,2025-09-26,0.484
F005,2025-09-27,0.504
F005,2025-09-28,0.494
F005,2025-09-29,0.491
F005,2025-09-30,0.489
F005,2025-10-01,0.525
F005,2025-10-02,0.512
F005,2025-10-03,0.495
F005,2025-10-04,0.469
F005,2025-10-05,0.525
F005,2025-10-06,0.476
F005,2025-10-07,0.504
F005,2025-10-08,0.489
F005,2025-10-09,0.465
F005,2025-10-10,0.495
F005,2025-10-11,0.516
F005,2025-10-12,0.495
F005,2025-10-13,0.504
F005,2025-10-14,0.514
F005,2025-10-15,0.504
F005,2025-10-16,0.531
F005,2025-10-17,0.473
F005,2025-10-18,0.505
F005,2025-10-19,0.481
F005,2025-10-20,0.467
F006,2025-09-21,0.644
F006,2025-09-22,0.628
F006,2025-09-23,0.618
F006,2025-09-24,0.639
F006,2025-09-25,0.646
F006,2025-09-26,0.639
F006,2025-09-27,0.622
F006,2025-09-28,0.659
F006,2025-09-29,0.618
F006,2025-09-30,0.636
F006,2025-10-01,0.659
F006,2025-10-02,0.648
F006,2025-10-03,0.664
F006,2025-10-04,0.655
F006,2025-10-05,0.644
F006,2025-10-06,0.662
F006,2025-10-07,0.625
F006,2025-10-08,0.659
F006,2025-10-09,0.641
F006,2025-10-10,0.634
F006,2025-10-11,0.665
F006,2025-10-12,0.623
F006,2025-10-13,0.613
F006,2025-10-14,0.658
F006,2025-10-15,0.626
F006,2025-10-16,0.619
F006,2025-10-17,0.642
F006,2025-10-18,0.619
F006,2025-10-19,0.682
F006,2025-10-20,0.666
F007,2025-09-21,0.488
F007,2025-09-22,0.497
F007,2025-09-23,0.548
F007,2025-09-24,0.527
F007,2025-09-25,0.52
F007,2025-09-26,0.488
F007,2025-09-27,0.478
F007,2025-09-28,0.517
F007,2025-09-29,0.483
F007,2025-09-30,0.472
F007,2025-10-01,0.477
F007,2025-10-02,0.53
F007,2025-10-03,0.503
F007,2025-10-04,0.494
F007,2025-10-05,0.503
F007,2025-10-06,0.529
F007,2025-10-07,0.476
F007,2025-10-08,0.492
F007,2025-10-09,0.513
F007,2025-10-10,0.506
F007,2025-10-11,0.533
F007,2025-10-12,0.526
F007,2025-10-13,0.496
F007,2025-10-14,0.506
F007,2025-10-15,0.507
F007,2025-10-16,0.558
F007,2025-10-17,0.539
F007,2025-10-18,0.461
F007,2025-10-19,0.505
F007,2025-10-20,0.52
F008,2025-09-21,0.541
F008,2025-09-22,0.553
F008,2025-09-23,0.526
F008,2025-09-24,0.542
F008,2025-09-25,0.54
F008,2025-09-26,0.535
F008,2025-09-27,0.538
F008,2025-09-28,0.531
F008,2025-09-29,0.537
F008,2025-09-30,0.53
F008,2025-10-01,0.558
F008,2025-10-02,0.545
F008,2025-10-03,0.575
F008,2025-10-04,0.527
F008,2025-10-05,0.569
F008,2025-10-06,0.555
F008,2025-10-07,0.556
F008,2025-10-08,0.573
F008,2025-10-09,0.545
F008,2025-10-10,0.549
F008,2025-10-11,0.558
F008,2025-10-12,0.547
F008,2025-10-13,0.554
F008,2025-10-14,0.518
F008,2025-10-15,0.548
F008,2025-10-16,0.564
F008,2025-10-17,0.561
F008,2025-10-18,0.536
F008,2025-10-19,0.544
F008,2025-10-20,0.555
F009,2025-09-21,0.499
F009,2025-09-22,0.528
F009,2025-09-23,0.527
F009,2025-09-24,0.533
F009,2025-09-25,0.48
F009,2025-09-26,0.497
F009,2025-09-27,0.502
F009,2025-09-28,0.519
F009,2025-09-29,0.495
F009,2025-09-30,0.516
F009,2025-10-01,0.483
F009,2025-10-02,0.503
F009,2025-10-03,0.512
F009,2025-10-04,0.484
F009,2025-10-05,0.494
F009,2025-10-06,0.521
F009,2025-10-07,0.504
F009,2025-10-08,0.479
F009,2025-10-09,0.463
F009,2025-10-10,0.53
F009,2025-10-11,0.491
F009,2025-10-12,0.503
F009,2025-10-13,0.511
F009,2025-10-14,0.507
F009,2025-10-15,0.537
F009,2025-10-16,0.48
F009,2025-10-17,0.482
F009,2025-10-18,0.531
F009,2025-10-19,0.49
F009,2025-10-20,0.534
F010,2025-09-21,0.463
F010,2025-09-22,0.471
F010,2025-09-23,0.445
F010,2025-09-24,0.455
F010,2025-09-25,0.443
F010,2025-09-26,0.449
F010,2025-09-27,0.423
F010,2025-09-28,0.453
F010,2025-09-29,0.466
F010,2025-09-30,0.448
F010,2025-10-01,0.466
F010,2025-10-02,0.447
F010,2025-10-03,0.463
F010,2025-10-04,0.471
F010,2025-10-05,0.438
F010,2025-10-06,0.505
F010,2025-10-07,0.465
F010,2025-10-08,0.432
F010,2025-10-09,0.476
F010,2025-10-10,0.436
F010,2025-10-11,0.443
F010,2025-10-12,0.455
F010,2025-10-13,0.437
F010,2025-10-14,0.457
F010,2025-10-15,0.467
F010,2025-10-16,0.455
F010,2025-10-17,0.449
F010,2025-10-18,0.498
F010,2025-10-19,0.465
F010,2025-10-20,0.476
F011,2025-09-21,0.542
F011,2025-09-22,0.526
F011,2025-09-23,0.549
F011,2025-09-24,0.572
F011,2025-09-25,0.539
F011,2025-09-26,0.572
F011,2025-09-27,0.55
F011,2025-09-28,0.519
F011,2025-09-29,0.538
F011,2025-09-30,0.558
F011,2025-10-01,0.554
F011,2025-10-02,0.52
F011,2025-10-03,0.564
F011,2025-10-04,0.569
F011,2025-10-05,0.554
F011,2025-10-06,0.554
F011,2025-10-07,0.582
F011,2025-10-08,0.523
F011,2025-10-09,0.524
F011,2025-10-10,0.542
F011,2025-10-11,0.525
F011,2025-10-12,0.555
F011,2025-10-13,0.556
F011,2025-10-14,0.544
F011,2025-10-15,0.565
F011,2025-10-16,0.548
F011,2025-10-17,0.528
F011,2025-10-18,0.55
F011,2025-10-19,0.54
F011,2025-10-20,0.544
F012,2025-09-21,0.479
F012,2025-09-22,0.488
F012,2025-09-23,0.504
F012,2025-09-24,0.507
F012,2025-09-25,0.483
F012,2025-09-26,0.506
F012,2025-09-27,0.554
F012,2025-09-28,0.516
F012,2025-09-29,0.483
F012,2025-09-30,0.454
F012,2025-10-01,0.516
F012,2025-10-02,0.516
F012,2025-10-03,0.517
F012,2025-10-04,0.499
F012,2025-10-05,0.499
F012,2025-10-06,0.521
F012,2025-10-07,0.495
F012,2025-10-08,0.475
F012,2025-10-09,0.497
F012,2025-10-10,0.474
F012,2025-10-11,0.488
F012,2025-10-12,0.508
F012,2025-10-13,0.478
F012,2025-10-14,0.489
F012,2025-10-15,0.524
F012,2025-10-16,0.51
F012,2025-10-17,0.508
F012,2025-10-18,0.506
F012,2025-10-19,0.487
F012,2025-10-20,0.486
F013,2025-09-21,0.55
F013,2025-09-22,0.549
F013,2025-09-23,0.555
F013,2025-09-24,0.542
F013,2025-09-25,0.579
F013,2025-09-26,0.535
F013,2025-09-27,0.565
F013,2025-09-28,0.552
F013,2025-09-29,0.536
F013,2025-09-30,0.552
F013,2025-10-01,0.564
F013,2025-10-02,0.567
F013,2025-10-03,0.557
F013,2025-10-04,0.568
F013,2025-10-05,0.524
F013,2025-10-06,0.542
F013,2025-10-07,0.527
F013,2025-10-08,0.527
F013,2025-10-09,0.56
F013,2025-10-10,0.517
F013,2025-10-11,0.566
F013,2025-10-12,0.585
F013,2025-10-13,0.562
F013,2025-10-14,0.538
F013,2025-10-15,0.512
F013,2025-10-16,0.539
F013,2025-10-17,0.513
F013,2025-10-18,0.59
F013,2025-10-19,0.53
F013,2025-10-20,0.533
F014,2025-09-21,0.532
